"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "XML", "HTML", "Vue", "comment", "blank", "total"
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 14, 52
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 12, 0, 20
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/package-lock.json", "JSON", 0, 13478, 0, 0, 0, 0, 0, 0, 1, 13479
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/public/img/icons/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/server/index.js", "JavaScript", 303, 0, 0, 0, 0, 0, 0, 25, 26, 354
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/server/package-lock.json", "JSON", 0, 2155, 0, 0, 0, 0, 0, 0, 1, 2156
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/server/package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/App.vue", "Vue", 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/CreatePostComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 36, 146, 1, 183
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/FriendComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 117, 2, 7, 126
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/IndexComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 211, 328, 10, 549
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/LayoutComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 180, 10, 17, 207
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/LoginComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 168, 6, 15, 189
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/MessageComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 22, 0, 3, 25
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/NotiComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 4, 6, 66
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/ProfileComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 664, 415, 26, 1105
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/RegisterComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 199, 5, 17, 221
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/components/SearchComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 162, 123, 7, 292
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/main.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/registerServiceWorker.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 1, 3, 33
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/router/index.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 5, 67
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/store/index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 6, 2, 38
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/CreatePostView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/FriendView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/IndexView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/LoginView.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 1, 3, 25
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/MessageView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/NotiView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/ProfileView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/RegisterView.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 1, 3, 25
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/src/views/SearchView.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/aungkaungmyat/Desktop/Laravel Chat App/frontend/vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 466, 15697, 38, 8, 3, 36, 1965, 1089, 200, 19502